#{"t_start": 1597061503.2091622, "env_id": "Pendulum-v0"}
r,l,t
-1407.472758,200,1.580157
-618.586862,200,1.850688
-869.900595,200,2.067806
-1715.868877,200,2.361061
-750.560052,200,2.594957
-991.894027,200,2.879224
-995.797706,200,3.109277
-876.708893,200,3.387771
-1044.931581,200,3.667616
-1005.153081,200,3.910327
-1070.649357,200,4.199384
-1599.645874,200,4.435249
-1162.537399,200,4.711531
-1734.48068,200,4.95662
-900.395224,200,5.237986
-1624.601461,200,5.460408
-1271.595199,200,5.731631
-1219.614483,200,5.998958
-1280.950322,200,6.218035
-1474.821528,200,6.488425
-1305.491919,200,6.704027
-1848.552328,200,6.975236
-1624.883408,200,7.199478
-1560.972075,200,7.471948
